DATE,USER_ID,LAST_PICK_TIME,ISTOP_TIME,TIME_LOST_DUE_TO_EARLY_ISTOP
2024-12-10,DHRUPA,2024-12-10 13:48:48.125296,2024-12-10 13:55:02,0 days 00:06:13.874704
2024-12-10,WAJMUH,2024-12-10 13:45:11.855686,2024-12-10 13:55:02,0 days 00:09:50.144314
2024-12-10,WOODTO,2024-12-10 09:02:36.570578,2024-12-10 13:55:04,0 days 04:52:27.429422
2024-12-10,ANDEAL,2024-12-10 13:45:58.556639,2024-12-10 13:55:33,0 days 00:09:34.443361
2024-12-10,OLAHMA,2024-12-10 13:48:40.245322,2024-12-10 13:55:45,0 days 00:07:04.754678
2024-12-10,PIATDA,2024-12-10 13:44:19.090660,2024-12-10 13:55:45,0 days 00:11:25.909340
2024-12-10,SURAZU,2024-12-10 13:52:41.180093,2024-12-10 13:55:48,0 days 00:03:06.819907
2024-12-10,NAYLRO,2024-12-10 13:49:20.180779,2024-12-10 13:55:51,0 days 00:06:30.819221
2024-12-10,HUSSJA,2024-12-10 13:52:29.048108,2024-12-10 13:56:00,0 days 00:03:30.951892
2024-12-10,ALLEKA,2024-12-10 08:03:54.317633,2024-12-10 13:56:30,0 days 05:52:35.682367
2024-12-10,TARIAR,2024-12-10 13:49:10.734327,2024-12-10 13:56:49,0 days 00:07:38.265673
2024-12-10,GURISI,2024-12-10 13:36:17.263657,2024-12-10 13:56:51,0 days 00:20:33.736343
2024-12-10,AKHTKH,2024-12-10 13:53:06.619470,2024-12-10 13:57:05,0 days 00:03:58.380530
2024-12-10,GILBBE,2024-12-10 13:50:22.595441,2024-12-10 13:57:13,0 days 00:06:50.404559
2024-12-10,PARSTE,2024-12-10 13:52:52.380945,2024-12-10 13:57:31,0 days 00:04:38.619055
2024-12-10,TEKLSA,2024-12-10 09:59:40.853244,2024-12-10 13:58:32,0 days 03:58:51.146756
2024-12-10,HUSRAJ,2024-12-10 13:53:22.626241,2024-12-10 13:59:23,0 days 00:06:00.373759
2024-12-10,WUSIUW,2024-12-10 10:02:42.627112,2024-12-10 13:59:38,0 days 03:56:55.372888
2024-12-10,GRZYBO,2024-12-10 13:45:22.740410,2024-12-10 14:00:27,0 days 00:15:04.259590
2024-12-10,BARARA,2024-12-10 13:53:15.723661,2024-12-10 14:00:54,0 days 00:07:38.276339
2024-12-10,NAVEHU,2024-12-10 13:55:14.661071,2024-12-10 14:04:07,0 days 00:08:52.338929
2024-12-10,SINGBI,2024-12-10 07:52:19.984968,2024-12-10 14:16:19,0 days 06:23:59.015032
2024-12-10,RAUDAR,2024-12-10 10:21:06.038693,2024-12-10 14:33:18,0 days 04:12:11.961307
2024-12-10,RAUDAR,2024-12-10 10:21:06.038693,2024-12-10 15:08:15,0 days 04:47:08.961307
