DATE,USER_ID,SKU_ID,LIST_ID,SKIP_DTSTAMP,LAST_PREVIOUS_PICK_DTSTAMP,FIRST_SUBSEQUENT_PICK_DTSTAMP,TIME_TO_REPICK
2024-09-30,ADEWOL,60645150,CNH7226917,2024-09-30 01:30:18.205566,2024-09-30 01:38:58.068854,2024-09-30 01:39:17.429666,0 days 00:00:19.360812
2024-09-30,ADEWOL,60529455,CNH7226917,2024-09-30 01:30:43.166027,2024-09-30 01:35:21.815219,2024-09-30 01:38:41.940961,0 days 00:03:20.125742
2024-09-30,ADEWOL,60529455,CNH7226917,2024-09-30 01:30:46.770794,2024-09-30 01:35:21.815219,2024-09-30 01:38:41.940961,0 days 00:03:20.125742
2024-09-30,ADEWOL,60529455,CNH7226917,2024-09-30 01:31:03.581074,2024-09-30 01:35:21.815219,2024-09-30 01:38:41.940961,0 days 00:03:20.125742
2024-09-30,ADEWOL,60529455,CNH7226917,2024-09-30 01:31:05.667221,2024-09-30 01:35:21.815219,2024-09-30 01:38:41.940961,0 days 00:03:20.125742
2024-09-30,AHIMSA,20002407,XNH7250580,2024-09-30 10:16:34.111161,2024-09-30 10:19:17.239912,2024-09-30 10:20:37.499744,0 days 00:01:20.259832
2024-09-30,AHIMSA,20002407,XNH7250580,2024-09-30 10:16:40.510567,2024-09-30 10:19:17.239912,2024-09-30 10:20:37.499744,0 days 00:01:20.259832
2024-09-30,AHIMSA,60620779,XNH7264501,2024-09-30 10:34:44.959303,2024-09-30 10:55:14.928010,2024-09-30 10:58:21.218297,0 days 00:03:06.290287
2024-09-30,AHIMSA,60620779,XNH7264501,2024-09-30 10:35:44.960578,2024-09-30 10:55:14.928010,2024-09-30 10:58:21.218297,0 days 00:03:06.290287
2024-09-30,AKHTKH,60481383,XNH7271860,2024-09-30 12:12:08.320180,2024-09-30 12:17:15.609020,2024-09-30 12:18:25.216040,0 days 00:01:09.607020
2024-09-30,AKHTKH,20002015,XNH7279577,2024-09-30 13:46:08.867850,2024-09-30 13:54:56.956122,2024-09-30 13:54:57.013071,0 days 00:00:00.056949
2024-09-30,ALIMOH,60598322,PNH7270873,2024-09-30 11:10:09.673491,2024-09-30 11:19:57.148852,2024-09-30 11:20:27.321179,0 days 00:00:30.172327
