KEY,FACE_TYPE,CLIENT_ID,SKU_ID,TRACKING_LEVEL,OWNER_ID,ORIGIN_ID,CONDITION_ID,SPEC_CODE,SITE_ID,LOCATION_ID,ZONE_1,TRIGGER_QTY,MIN_REPLEN_QTY,MAX_TASK_QTY,MAX_RELD_REPLEN,AUTO_REPLEN,REPLEN_WHOLE,ABC_FREQUENCY,ABC_STORAGE,ABC_DISABLE,BATCH_REPLEN_MODE,START_DSTAMP,END_DSTAMP,QTY_ON_HAND,QTY_ALLOCATED,QTY_DUE,PRIMARY_FACE,MAXIMUM_QTY,OVERFILL_RELATIVE_QTY,REPLEN_TRACKING_LEVEL,CE_INV_TYPE,CE_UNDER_BOND,MULTIPLE_LOCATIONS,REPLEN_ON_HOLD,REPLEN_TO_TRIGGER,REPLEN_SPLIT_TO_FIT,MAX_LOCATIONS,FROM_LOCATION,TO_LOCATION,FROM_AISLE,TO_AISLE,FROM_BAY,TO_BAY,FROM_LEVEL,TO_LEVEL,USER_DEF_TYPE_1,USER_DEF_TYPE_2,USER_DEF_TYPE_3,USER_DEF_TYPE_4,USER_DEF_TYPE_5,USER_DEF_TYPE_6,USER_DEF_TYPE_7,USER_DEF_TYPE_8,USER_DEF_CHK_1,USER_DEF_CHK_2,USER_DEF_CHK_3,USER_DEF_CHK_4
67840,F,M+S,60706626,,M+S,,,,9771,WE08A01,,60,,,,Y,Y,,,N,N,,,234,138,0,Y,,,,E,E,N,N,N,N,,,,,,,,,,,,,,,6,0,,N,N,N,N
67849,F,M+S,60694658,,M+S,,,,9771,AY28A02,,30,,,,Y,Y,,,N,N,,,483,201,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,3,,,N,N,N,N
64116,F,M+S,60693525,,M+S,,,,9771,AR11A02,,270,,,,Y,Y,,,N,N,,,810,432,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,27,,,N,N,N,N
63242,F,M+S,60490194,,M+S,,,,9771,AR12A02,,396,,,,Y,Y,,,N,N,,,1344,216,0,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
63983,F,M+S,60104126,,M+S,,,,9771,AT53A01,,270,,,,Y,Y,,,N,N,,,306,828,1620,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,18,,,N,N,N,N
54924,F,M+S,20063430,,M+S,,VETCERT,,9771,AT31A02,,1,8840,,,Y,N,,,N,N,,,1920,1740,0,Y,8840,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,20,,,N,N,N,N
64676,F,M+S,60649247,,M+S,,,,9771,WC24A01,,60,,,,Y,Y,,,N,N,,,588,168,0,N,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,12,0,,N,N,N,N
70468,F,M+S,60104116,,M+S,,,,9771,AT27A02,,270,,,,Y,Y,,,N,N,,,252,1332,1620,N,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,18,,,N,N,N,N
63989,F,M+S,60003865,,M+S,,,,9771,AT67A01,,270,,,,Y,Y,,,N,N,,,810,990,1620,Y,,,,NB,N,N,N,N,N,,,,,,,,,,,,,,,18,,,N,N,N,N
70473,F,M+S,20002028,,M+S,,VETCERT,,9771,AT66A01,,1,1008,,,Y,N,,,N,N,,,300,876,1008,N,1008,,,NB,N,N,Y,N,N,,,,,,,,,,,,,,,12,,,N,N,N,N
