DATE,USER_ID,REPLEN_SKIP_FROM_LOC,REPLENISH_TO_LOC,REPLEN_AISLE,SKIP_AISLE,AISLE_DISTANCE,TIME_TO_SKIP,,,,
26/10/2024,MATHVI,VL72A01,BG04A01,BG,VL,53,6.88018,,12537.5,219406.25,21940.625
26/10/2024,MATHVI,VL72A01,BG04A01,BG,VL,53,50.244648,,,,
26/10/2024,SADDMU,VL72A01,BG30A01,BG,VL,53,10.912061,,,,
26/10/2024,MANJSI,VL72A01,BD03A02,BD,VL,50,481.140762,,,1371.289063,137.1289063
30/10/2024,ALLEKA,VL08A01,BD15A02,BD,VL,50,501.775807,,,,
30/10/2024,BILLMA,VL08A01,BD70A01,BD,VL,50,45.441238,,,,
30/10/2024,SIDDUM,VL08A01,BD13A02,BD,VL,50,1367.802015,,,,
30/10/2024,KABIWA,VL08A01,BC57A01,BC,VL,49,1.183652,,,,
30/10/2024,KAILPA,VL18A01,BC67A01,BC,VL,49,18.542803,,,,
30/10/2024,MALIRA,VL18A01,BC57A01,BC,VL,49,200.717753,,,,
30/10/2024,SEMEHA,VL08A01,BC22A02,BC,VL,49,240.118279,,,,
30/10/2024,SEMEHA,VL08A01,BC68A02,BC,VL,49,3.699274,,,,
03/10/2024,DHILGU,VJ20A02,BD18A02,BD,VJ,48,239.761538,,,,
17/10/2024,DHILGU,VK47A02,BC42A01,BC,VK,48,165.587906,,,,
19/10/2024,ABBAMA,VL38A02,BB73A01,BB,VL,48,163.348368,,,,
26/10/2024,SADDMU,VL72A01,BB75A02,BB,VL,48,4.447818,,,,
30/10/2024,BILLMA,VL08A01,BB71A01,BB,VL,48,126.495003,,,,
30/10/2024,SEMEHA,VL18A01,BB45A02,BB,VL,48,11.958342,,,,
30/10/2024,TAJINSIN,VL18A01,BB71A01,BB,VL,48,1.899784,,,,
30/10/2024,ZEMLIL,VL18A01,BB48A02,BB,VL,48,213.61489,,,,
31/10/2024,SZCZDA,VL18A01,BB55A01,BB,VL,48,2.4914899999999998,,,,
05/10/2024,KABIWA,VKOUTA02,BB30A01,BB,VK,47,1.902775,,,,
08/10/2024,WOODTO,VFOUTN02,BF05A01,BF,VF,47,26.252622,,,,
21/10/2024,IRSHHA,VGOUTA02,BE18A02,BE,VG,47,114.822806,,,,
21/10/2024,WOODPE,VG49A01,BE12A01,BE,VG,47,47.966862,,,,
21/10/2024,WOODPE,VKOUTA01,BB02A01,BB,VK,47,4127.025296,,,,
26/10/2024,EBRAMO,VH78A02,BD15A02,BD,VH,47,30.01816,,,,
06/10/2024,PANKPA,VF23A02,BE30A02,BE,VF,46,3.024916,,,,
06/10/2024,PANKPA,VF23A02,BE30A02,BE,VF,46,10.252865,,,,
07/10/2024,KHASH,VHOUTC01,BC03A02,BC,VH,46,4.281,,,,
10/10/2024,RASHZA,VHOUTA02,BC71A01,BC,VH,46,79.18451,,,,
13/10/2024,KHASH,VH43J01,BC24A02,BC,VH,46,3.585336,,,,
17/10/2024,WOODPE,VH73G01,BC68A02,BC,VH,46,3.820329,,,,
19/10/2024,DAYAEB,VHOUTC02,BC59A02,BC,VH,46,2.922742,,,,
21/10/2024,WOODPE,VF64N02,BE12A01,BE,VF,46,43.789198999999996,,,,
21/10/2024,WOODPE,VF44N01,BE12A01,BE,VF,46,45.820579,,,,
21/10/2024,WOODPE,VJ10A01,BB02A01,BB,VJ,46,4124.692004,,,,
21/10/2024,WOODPE,VJ10A01,BB02A01,BB,VJ,46,4149.271241,,,,
25/10/2024,SZCZDA,VHOUTE01,BC80A01,BC,VH,46,28.364372,,,,
26/10/2024,EBRAMO,VG41G01,BD15A02,BD,VG,46,31.583176,,,,
